,BioProject,Library Name,tissue,Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Cultivar,dev_stage,isolate,Age,Ecotype,replicate,treatment,phenotype,Biomaterial_provider,disease_stage,disease,Collection_date,isolation_source,sample_type,Genotype,GEO_Accession (exp),source_name,sub_species,strain,time_cultured,tissue_type,symbiont,growth_protocol,AssemblyName,sample_name,is_reference,specific_host,collected_by,Host,biological_repeats,Developmental_stage,temp,variety,quality_book_char (run),library_selection (exp)
,PRJNA511663,Fe0Cd_1,root,SRR8387900,RNA-Seq,300,8285983200,SAMN10642091,2889256852,HUAIBEI NORMAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5197656,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe0Cd_1,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe0_2,root,SRR8387901,RNA-Seq,299,7613099700,SAMN10642091,2676591325,HUAIBEI NORMAL UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5197655,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe0_2,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe0_1,root,SRR8387902,RNA-Seq,300,8319721800,SAMN10642091,2891286292,HUAIBEI NORMAL UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5197654,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe0_1,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA503806: find out mechanism of AMF inoculated plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat3_20170803,root,SRR8156416,RNA-Seq,300,6796064400,SAMN10374665,2790774918,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977330,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat3_3,SRP167823,PRJNA503806,treat3_20170803,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 3,AMF colonized and Ca(NO3)2,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat3_20170802,root,SRR8156417,RNA-Seq,300,6689540100,SAMN10374664,2752672882,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977329,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat3_2,SRP167823,PRJNA503806,treat3_20170802,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 2,AMF colonized and Ca(NO3)2,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat2_20170802,root,SRR8156418,RNA-Seq,300,6781917600,SAMN10374661,2630708224,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977328,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat2_2,SRP167823,PRJNA503806,treat2_20170802,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 2,Ca(NO3)2 treatment,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat2_20170801,root,SRR8156419,RNA-Seq,300,6745144500,SAMN10374660,2660744000,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977327,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat2_1,SRP167823,PRJNA503806,treat2_20170801,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 1,Ca(NO3)2 treatment,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat1_20170803,root,SRR8156420,RNA-Seq,300,6623304000,SAMN10374659,2603978326,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977326,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat1_3,SRP167823,PRJNA503806,treat1_20170803,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 3,AMF colonized,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat1_20170802,root,SRR8156421,RNA-Seq,300,6640216500,SAMN10374658,2601404926,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977325,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat1_2,SRP167823,PRJNA503806,treat1_20170802,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 2,AMF colonized,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat1_20170801,root,SRR8156422,RNA-Seq,300,6804133800,SAMN10374657,2648947821,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977324,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat1_1,SRP167823,PRJNA503806,treat1_20170801,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 1,AMF colonized,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat3_20170801,root,SRR8156426,RNA-Seq,300,6649632300,SAMN10374663,2715954183,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977320,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat3_1,SRP167823,PRJNA503806,treat3_20170801,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 1,AMF colonized and Ca(NO3)2,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503806,treat2_20170803,root,SRR8156427,RNA-Seq,300,5958310800,SAMN10374662,2440026889,SHANDONG ACADEMY OF AGRICULTURAL SCIENCE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977319,HiSeq X Ten,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-12-05T00:00:00Z,Treat2_3,SRP167823,PRJNA503806,treat2_20170803,root,China,Asia,China: Ji'nan Shandong,Plant,HuaYu 22,seedling growth,not applicable,45 days after sowing,Upright,biological replicate 3,Ca(NO3)2 treatment,,,,,27-Aug-17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA503795: global transcriptome was conducted to investigate the difference genes expressed between hairy root and true root in peanut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA503795,T10,Root,SRR8156171,RNA-Seq,150,18205007400,SAMN10373783,7247552213,SOUTH CHINA NORMAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977078,Illumina HiSeq 4000,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-11-05T00:00:00Z,TR10h,SRP167816,PRJNA503795,T10,Root,China,Asia,China,Plant,Yue you 7,10 leaves stage,Ture root,>30 days,Drought resistant tetraploid cultivars,,drought 10h,,,,,,,mix root sample,,,,,,,,,,,,,,,,,,,,,
,PRJNA503795,T2,Root,SRR8156172,RNA-Seq,150,18428784000,SAMN10373782,7446879817,SOUTH CHINA NORMAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977077,Illumina HiSeq 4000,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-11-05T00:00:00Z,TR2h,SRP167816,PRJNA503795,T2,Root,China,Asia,China,Plant,Yue you 7,10 leaves stage,Ture root,>30 days,Drought resistant tetraploid cultivars,,drought 2h,,,,,,,mix root sample,,,,,,,,,,,,,,,,,,,,,
,PRJNA503795,H2,Root,SRR8156174,RNA-Seq,150,8927426071,SAMN10373780,3122709937,SOUTH CHINA NORMAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4977075,Illumina HiSeq 4000,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-11-05T00:00:00Z,HR2h,SRP167816,PRJNA503795,H2,Root,China,Asia,China,Plant,Yue you 7,not applicable,Hair root,>30 days,Drought resistant tetraploid cultivars,,drought 2h,,,,,,,mix root sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA498570: RNA-seq data of peanut under drought stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,Val-C_WDI rep1,Leaf,SRR11362853,RNA-Seq,50,1541072600,SAMN14419779,1005735309,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7964286,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,Val-C_WDI,SRP253556,PRJNA498570,Val-C_WDI rep1,Leaf,uncalculated,uncalculated,Not applicable,Plant,valencia-C,active pegging and fruit development stage,,,Valencia,,Water deficit irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,Val-C_FI rep3,Leaf,SRR11362854,RNA-Seq,50,1382626900,SAMN14419778,907608683,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7964285,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,Val-C_FI,SRP253556,PRJNA498570,Val-C_FI rep3,Leaf,uncalculated,uncalculated,Not applicable,Plant,valencia-C,active pegging and fruit development stage,,,Valencia,,Full irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,Val-C_FI rep2,Leaf,SRR11362855,RNA-Seq,50,1443155800,SAMN14419778,956330464,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7964284,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,Val-C_FI,SRP253556,PRJNA498570,Val-C_FI rep2,Leaf,uncalculated,uncalculated,Not applicable,Plant,valencia-C,active pegging and fruit development stage,,,Valencia,,Full irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,Val-C_FI rep1,Leaf,SRR11362856,RNA-Seq,50,1501624400,SAMN14419778,987249555,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7964283,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,Val-C_FI,SRP253556,PRJNA498570,Val-C_FI rep1,Leaf,uncalculated,uncalculated,Not applicable,Plant,valencia-C,active pegging and fruit development stage,,,Valencia,,Full irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,C-76_WDI rep3,Leaf,SRR11362857,RNA-Seq,50,1391699550,SAMN14419777,920687880,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7964282,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,C-76_WDI,SRP253556,PRJNA498570,C-76_WDI rep3,Leaf,uncalculated,uncalculated,Not applicable,Plant,C-76-16,active pegging and fruit development stage,,,Runner,,Water deficit irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,C-76_WDI rep2,Leaf,SRR11362858,RNA-Seq,50,1407405550,SAMN14419777,918373010,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7964281,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,C-76_WDI,SRP253556,PRJNA498570,C-76_WDI rep2,Leaf,uncalculated,uncalculated,Not applicable,Plant,C-76-16,active pegging and fruit development stage,,,Runner,,Water deficit irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,C-76_WDI rep1,Leaf,SRR11362859,RNA-Seq,50,1583238400,SAMN14419777,1029077192,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7964280,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,C-76_WDI,SRP253556,PRJNA498570,C-76_WDI rep1,Leaf,uncalculated,uncalculated,Not applicable,Plant,C-76-16,active pegging and fruit development stage,,,Runner,,Water deficit irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,C-76_FI rep3,Leaf,SRR11362860,RNA-Seq,50,1917798200,SAMN14419776,1268735177,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7964279,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,C-76_FI,SRP253556,PRJNA498570,C-76_FI rep3,Leaf,uncalculated,uncalculated,Not applicable,Plant,C-76-16,active pegging and fruit development stage,,,Runner,,Full irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,Val-C_WDI rep3,Leaf,SRR11362861,RNA-Seq,50,1427512950,SAMN14419779,929264114,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7964278,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,Val-C_WDI,SRP253556,PRJNA498570,Val-C_WDI rep3,Leaf,uncalculated,uncalculated,Not applicable,Plant,valencia-C,active pegging and fruit development stage,,,Valencia,,Water deficit irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,Val-C_WDI rep2,Leaf,SRR11362862,RNA-Seq,50,1624789750,SAMN14419779,1063620577,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7964277,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,Val-C_WDI,SRP253556,PRJNA498570,Val-C_WDI rep2,Leaf,uncalculated,uncalculated,Not applicable,Plant,valencia-C,active pegging and fruit development stage,,,Valencia,,Water deficit irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,C-76_FI rep2,Leaf,SRR11362863,RNA-Seq,50,1862257450,SAMN14419776,1229139272,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7964276,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,C-76_FI,SRP253556,PRJNA498570,C-76_FI rep2,Leaf,uncalculated,uncalculated,Not applicable,Plant,C-76-16,active pegging and fruit development stage,,,Runner,,Full irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA498570,C-76_FI rep1,Leaf,SRR11362864,RNA-Seq,50,1409485850,SAMN14419776,920365641,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7964275,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-21T00:00:00Z,C-76_FI,SRP253556,PRJNA498570,C-76_FI rep1,Leaf,uncalculated,uncalculated,Not applicable,Plant,C-76-16,active pegging and fruit development stage,,,Runner,,Full irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA494675: Transcriptome analysis of the resistance to early leaf spot in peanut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T3 R1,leaf,SRR7963494,RNA-Seq,50,1314834400,SAMN10176421,768206266,TUSKEGEE UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4797147,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS7,SRP163417,PRJNA494675,904 T3 R1,leaf,USA,North America,USA: Alabama,Plant,,48 h after inoculation,904 line,,,R1,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T2 R3,leaf,SRR7963495,RNA-Seq,50,1314154550,SAMN10176420,777627162,TUSKEGEE UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4797146,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS6,SRP163417,PRJNA494675,904 T2 R3,leaf,USA,North America,USA: Alabama,Plant,,24 h after inoculation,904 line,,,R3,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T2 R3,leaf,SRR7963496,RNA-Seq,50,1314148650,SAMN10176429,775284740,TUSKEGEE UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4797145,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS15,SRP163417,PRJNA494675,1006 T2 R3,leaf,USA,North America,USA: Alabama,Plant,,24 h after inoculation,1006 line,,,R3,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T3 R3,leaf,SRR7963497,RNA-Seq,50,1313979400,SAMN10176432,771640586,TUSKEGEE UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4797144,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS18,SRP163417,PRJNA494675,1006 T3 R3,leaf,USA,North America,USA: Alabama,Plant,,48 h after inoculation,1006 line,,,R3,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T1 R3,leaf,SRR7963498,RNA-Seq,50,1315093700,SAMN10176417,780966097,TUSKEGEE UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4797143,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS3,SRP163417,PRJNA494675,904 T1 R3,leaf,USA,North America,USA: Alabama,Plant,,4 h after inoculation,904 line,,,R3,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T1 R1,leaf,SRR7963499,RNA-Seq,50,1314543050,SAMN10176415,769943416,TUSKEGEE UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4797142,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS1,SRP163417,PRJNA494675,904 T1 R1,leaf,USA,North America,USA: Alabama,Plant,,4 h after inoculation,904 line,,,R1,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T2 R1,leaf,SRR7963500,RNA-Seq,50,1314318800,SAMN10176427,773570016,TUSKEGEE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4797141,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS13,SRP163417,PRJNA494675,1006 T2 R1,leaf,USA,North America,USA: Alabama,Plant,,24 h after inoculation,1006 line,,,R1,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T1 R3,leaf,SRR7963501,RNA-Seq,50,1269961900,SAMN10176426,739919045,TUSKEGEE UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4797140,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS12,SRP163417,PRJNA494675,1006 T1 R3,leaf,USA,North America,USA: Alabama,Plant,,4 h after inoculation,1006 line,,,R3,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T2 R2,leaf,SRR7963502,RNA-Seq,50,1315143850,SAMN10176419,768204159,TUSKEGEE UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4797139,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS5,SRP163417,PRJNA494675,904 T2 R2,leaf,USA,North America,USA: Alabama,Plant,,24 h after inoculation,904 line,,,R2,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T1 R2,leaf,SRR7963503,RNA-Seq,50,1314051250,SAMN10176425,764676880,TUSKEGEE UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4797138,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS11,SRP163417,PRJNA494675,1006 T1 R2,leaf,USA,North America,USA: Alabama,Plant,,4 h after inoculation,1006 line,,,R2,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T1 R1,leaf,SRR7963504,RNA-Seq,50,1315098500,SAMN10176424,776934566,TUSKEGEE UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4797137,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS10,SRP163417,PRJNA494675,1006 T1 R1,leaf,USA,North America,USA: Alabama,Plant,,4 h after inoculation,1006 line,,,R1,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T2 R1,leaf,SRR7963505,RNA-Seq,50,1315134400,SAMN10176418,767969077,TUSKEGEE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4797136,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS4,SRP163417,PRJNA494675,904 T2 R1,leaf,USA,North America,USA: Alabama,Plant,,24 h after inoculation,904 line,,,R1,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
